group_type,dataset,subset,measure,n,mean,median,q10,q90,source_model,fixed_error_type,motion_group,effective_k_group,duration_group
generator,comgenvid,annotated,mean_motion_magnitude,1700,3.1194459465496682,2.9340595801671343,1.633588437239329,4.8873795191446945,VEO3,,,,
generator,comgenvid,annotated,mean_common_magnitude,1700,0.8104406576194599,0.7392596850792568,0.41196792523066206,1.2930180788040162,VEO3,,,,
generator,comgenvid,annotated,raw_d2_score,1700,0.0015627450819181933,0.0,0.0,0.003333333258827467,VEO3,,,,
generator,comgenvid,annotated,residual_d2_score,1700,0.00905098040989947,0.0,0.0,0.025000000403573117,VEO3,,,,
generator,comgenvid,annotated,R0,1700,0.06574352941176471,0.037000000000000005,0.002,0.185,VEO3,,,,
generator,comgenvid,annotated,R1,1700,0.07133058823529412,0.038,0.002,0.19910000000000014,VEO3,,,,
generator,comgenvid,annotated,R1_minus_R0,1700,0.005587058823529413,0.0,0.0,0.015999999999999993,VEO3,,,,
generator,comgenvid,real,rho_mean,898,0.08969046009750103,0.07780131200949351,0.047142782558997474,0.15337759579221408,MSVD,,,,
generator,comgenvid,real,rho_median,898,0.08169456534281253,0.06947346217930317,0.039035904904206595,0.14439064636826518,MSVD,,,,
generator,comgenvid,real,mean_motion_magnitude,898,5.636281972926639,5.439538876215617,2.9020409186681113,8.610254923502604,MSVD,,,,
generator,comgenvid,real,mean_common_magnitude,898,1.7810653693830207,1.6234244108200073,0.8071559578180313,2.9112488428751626,MSVD,,,,
generator,comgenvid,real,raw_d2_score,898,0.1065274683831905,0.01833333338921265,0.0,0.4019999981857841,MSVD,,,,
generator,comgenvid,real,residual_d2_score,898,0.15802152875642156,0.0466666662444671,0.0,0.555999997754892,MSVD,,,,
generator,comgenvid,real,R0,898,0.3832694877505568,0.3745,0.04900000000000001,0.7253000000000002,MSVD,,,,
generator,comgenvid,real,R1,898,0.39752115812917593,0.393,0.0517,0.743,MSVD,,,,
generator,comgenvid,real,R1_minus_R0,898,0.014251670378619156,0.0040000000000000036,-0.018000000000000016,0.06400000000000004,MSVD,,,,
generator,genvideo,annotated,rho_mean,188,0.08677296349382464,0.07991868257522583,0.04524219743907452,0.13515277653932573,Crafter,,,,
generator,genvideo,annotated,rho_median,188,0.0746180353824921,0.06606249511241913,0.03609652295708656,0.1281228616833687,Crafter,,,,
generator,genvideo,annotated,mean_motion_magnitude,188,3.5692347097904125,2.831992030143738,1.5300494790077208,7.056976985931397,Crafter,,,,
generator,genvideo,annotated,mean_common_magnitude,188,1.1891270061915225,0.9387856125831604,0.4725733309984207,2.415700840950012,Crafter,,,,
generator,genvideo,annotated,raw_d2_score,188,0.062367021021968144,0.0049999998882412,0.0,0.2199999988079071,Crafter,,,,
generator,genvideo,annotated,residual_d2_score,188,0.1078191489932385,0.014999999664723873,0.0,0.3700000047683716,Crafter,,,,
generator,genvideo,annotated,R0,188,0.1721489361702128,0.08299999999999999,0.035,0.5062000000000001,Crafter,,,,
generator,genvideo,annotated,R1,188,0.18693617021276596,0.093,0.0391,0.5179000000000001,Crafter,,,,
generator,genvideo,annotated,R1_minus_R0,188,0.014787234042553188,0.0040000000000000036,-0.0040000000000000036,0.05200000000000002,Crafter,,,,
generator,genvideo,annotated,rho_mean,1380,0.07322823724300029,0.06681928783655167,0.04265403238435587,0.11037169694900513,Gen2,,,,
generator,genvideo,annotated,rho_median,1380,0.06257228140926197,0.056346491600076355,0.03394198262443145,0.09935854425032933,Gen2,,,,
generator,genvideo,annotated,mean_motion_magnitude,1380,2.045139083410231,1.99229105313619,1.147153584162394,3.010228800773621,Gen2,,,,
generator,genvideo,annotated,mean_common_magnitude,1380,0.6338984910956615,0.5869057675202688,0.3221737523873647,0.9928667803605399,Gen2,,,,
generator,genvideo,annotated,raw_d2_score,1380,0.021816424999817927,0.0049999998882412,0.0,0.06016666752596713,Gen2,,,,
generator,genvideo,annotated,residual_d2_score,1380,0.04531038644125208,0.014999999664723873,0.0,0.14166667064030966,Gen2,,,,
generator,genvideo,annotated,R0,1380,0.07336956521739131,0.033,0.008,0.18110000000000015,Gen2,,,,
generator,genvideo,annotated,R1,1380,0.08029420289855073,0.039,0.008,0.196,Gen2,,,,
generator,genvideo,annotated,R1_minus_R0,1380,0.006924637681159421,0.002000000000000001,-0.0059999999999999915,0.03,Gen2,,,,
generator,genvideo,annotated,rho_mean,1400,0.09116814104928857,0.07997931291659674,0.04408497624099254,0.15104245791832616,Lavie,,,,
generator,genvideo,annotated,rho_median,1400,0.08182995757925146,0.06971450522542,0.03637090213596821,0.138884271681309,Lavie,,,,
generator,genvideo,annotated,mean_motion_magnitude,1400,4.143168869203046,3.7842005888621015,1.9207636952400207,6.682181167602541,Lavie,,,,
generator,genvideo,annotated,mean_common_magnitude,1400,1.3710643485809366,1.155725379784902,0.5304022669792176,2.462458419799805,Lavie,,,,
generator,genvideo,annotated,raw_d2_score,1400,0.04621309512915705,0.0049999998882412,0.0,0.1234999991953375,Lavie,,,,
generator,genvideo,annotated,residual_d2_score,1400,0.08815833361176331,0.014999999664723873,0.0,0.2785000026226046,Lavie,,,,
generator,genvideo,annotated,R0,1400,0.12435714285714285,0.066,0.014000000000000002,0.3354000000000006,Lavie,,,,
generator,genvideo,annotated,R1,1400,0.13793999999999998,0.079,0.016,0.3671000000000002,Lavie,,,,
generator,genvideo,annotated,R1_minus_R0,1400,0.013582857142857145,0.0040000000000000036,-0.006,0.05200000000000001,Lavie,,,,
generator,genvideo,annotated,rho_mean,700,0.13121983186474867,0.11808270961046219,0.0696340208252271,0.21804370830456415,ModelScope,,,,
generator,genvideo,annotated,rho_median,700,0.12479820936918258,0.11108121275901794,0.06203045497337977,0.21392936309178673,ModelScope,,,,
generator,genvideo,annotated,mean_motion_magnitude,700,4.644397134128071,4.452832619349162,2.3554173946380614,7.050594154993694,ModelScope,,,,
