dataset,generator,local,alpha_global,auc,ap
videofeedback,ZeroScope-576w,L1,0.8,0.8016333333333334,0.8300691934169752
videofeedback,ZeroScope-576w,L2,0.2,0.8144777777777779,0.8152013117494677
videofeedback,ZeroScope-576w,L2,0.4,0.8337333333333334,0.8379763146644374
videofeedback,ZeroScope-576w,L2,0.5,0.8407444444444445,0.8473382466820099
videofeedback,ZeroScope-576w,L2,0.6,0.8456777777777779,0.854393416723749
videofeedback,ZeroScope-576w,L2,0.8,0.8448666666666668,0.8572811358957921
videofeedback,ZeroScope-576w,L3,0.2,0.8500555555555556,0.8582323135290739
videofeedback,ZeroScope-576w,L3,0.4,0.8571333333333335,0.8674378411565337
videofeedback,ZeroScope-576w,L3,0.5,0.8572000000000001,0.8686055691855207
videofeedback,ZeroScope-576w,L3,0.6,0.8543111111111111,0.8678104550452448
videofeedback,ZeroScope-576w,L3,0.8,0.8415555555555556,0.8587761761662471
videofeedback,ZeroScope-576w,P0,0.2,0.8789666666666666,0.8772474335807898
videofeedback,ZeroScope-576w,P0,0.4,0.8782888888888889,0.8825925793631367
videofeedback,ZeroScope-576w,P0,0.5,0.8751222222222221,0.8819078849150979
videofeedback,ZeroScope-576w,P0,0.6,0.8695777777777779,0.8786412419315359
videofeedback,ZeroScope-576w,P0,0.8,0.8497222222222222,0.8636978292480987
genvideo,Crafter,L0,0.2,0.8040261430511544,0.7762634561242596
genvideo,Crafter,L0,0.4,0.8130517202354006,0.7849365051922954
genvideo,Crafter,L0,0.5,0.8158810547759167,0.7915236195292839
genvideo,Crafter,L0,0.6,0.8180030556813037,0.796433395855731
genvideo,Crafter,L0,0.8,0.8171825486645542,0.8013430870749333
genvideo,Crafter,L1,0.2,0.8062330239927569,0.7968768556938641
genvideo,Crafter,L1,0.4,0.8060632639203259,0.7963597104384557
genvideo,Crafter,L1,0.5,0.8060349705749208,0.796322304918914
genvideo,Crafter,L1,0.6,0.8060066772295156,0.7960094138050217
genvideo,Crafter,L1,0.8,0.8051295835219556,0.7927540011729085
genvideo,Crafter,L2,0.2,0.7871633091896787,0.7516117144587746
genvideo,Crafter,L2,0.4,0.8002348347668629,0.7696189431748542
genvideo,Crafter,L2,0.5,0.8042524898143957,0.7779755547872456
genvideo,Crafter,L2,0.6,0.8079872114078768,0.7846077615035474
genvideo,Crafter,L2,0.8,0.8117219330013581,0.7958963069844369
